$0;1496076212983357044;1.10;KIEKER-SINGLETON;a6b9179e06cd;1;false;0;NANOSECONDS;1
$1;1496076218109586120;HTTP_VetsService.GET;D3BE4C6A76A58A6C80B099809FC45BD0;6081829821787144258;1496076218087450983;1496076218109551883;a6b9179e06cd;1;1
$1;1496076218350078805;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();89DA7153019A4C22CAB75A6C8F6F772E;6081829821787144265;1496076218337828802;1496076218350065829;a6b9179e06cd;4;4
$1;1496076218353213881;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();89DA7153019A4C22CAB75A6C8F6F772E;6081829821787144265;1496076218335609744;1496076218353186478;a6b9179e06cd;3;3
$1;1496076218353300557;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();89DA7153019A4C22CAB75A6C8F6F772E;6081829821787144265;1496076218335581343;1496076218353293494;a6b9179e06cd;2;2
$1;1496076218356068508;HTTP_VetsService.GET;89DA7153019A4C22CAB75A6C8F6F772E;6081829821787144265;1496076218334679018;1496076218356035603;a6b9179e06cd;1;1
$1;1496076218617257930;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();6D0AC24D5630D1772CEB785EA3082D2B;6081829821787144272;1496076218603662429;1496076218617241508;a6b9179e06cd;4;4
$1;1496076218620216370;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();6D0AC24D5630D1772CEB785EA3082D2B;6081829821787144272;1496076218601295590;1496076218620207437;a6b9179e06cd;3;3
$1;1496076218620270942;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();6D0AC24D5630D1772CEB785EA3082D2B;6081829821787144272;1496076218601267036;1496076218620265482;a6b9179e06cd;2;2
$1;1496076218624266038;HTTP_VetsService.GET;6D0AC24D5630D1772CEB785EA3082D2B;6081829821787144272;1496076218599917248;1496076218624229283;a6b9179e06cd;1;1
$1;1496076218885013856;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();47453F8E45EC54334832FDFB428FE060;6081829821787144279;1496076218870230605;1496076218884994825;a6b9179e06cd;4;4
$1;1496076218888022174;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();47453F8E45EC54334832FDFB428FE060;6081829821787144279;1496076218866511996;1496076218888010851;a6b9179e06cd;3;3
$1;1496076218888083614;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();47453F8E45EC54334832FDFB428FE060;6081829821787144279;1496076218866482505;1496076218888078221;a6b9179e06cd;2;2
$1;1496076218891145074;HTTP_VetsService.GET;47453F8E45EC54334832FDFB428FE060;6081829821787144279;1496076218865637300;1496076218891104132;a6b9179e06cd;1;1
$1;1496076219154791101;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();C3642DBDA7AA87B97041C6713B2D6E0D;6081829821787144286;1496076219142804220;1496076219154768964;a6b9179e06cd;4;4
