$0;1494946399607628626;1.10;KIEKER-SINGLETON;6eea74558600;1;false;0;NANOSECONDS;1
$1;1494946517660233118;HTTP_VetsService.GET;AB8E20FE4269D3E5485BA157F1820B1A;4164281542945800302;1494946517609154667;1494946517660212070;6eea74558600;1;1
$1;1494946518157211196;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();095CE28A2523C3467186EE0B5FD00F84;4164281542945800310;1494946518140658543;1494946518157197817;6eea74558600;4;4
$1;1494946518162684531;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();095CE28A2523C3467186EE0B5FD00F84;4164281542945800310;1494946518128981720;1494946518162677579;6eea74558600;3;3
$1;1494946518162901432;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();095CE28A2523C3467186EE0B5FD00F84;4164281542945800310;1494946518128960801;1494946518162897650;6eea74558600;2;2
$1;1494946518169267042;HTTP_VetsService.GET;095CE28A2523C3467186EE0B5FD00F84;4164281542945800310;1494946518128636607;1494946518169237409;6eea74558600;1;1
$1;1494946518732705385;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();D2B25968771E1697677A3E1BADC3C0B6;4164281542945800318;1494946518717178845;1494946518732698958;6eea74558600;4;4
$1;1494946518734661580;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();D2B25968771E1697677A3E1BADC3C0B6;4164281542945800318;1494946518711475411;1494946518734656013;6eea74558600;3;3
$1;1494946518735012296;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();D2B25968771E1697677A3E1BADC3C0B6;4164281542945800318;1494946518711465826;1494946518735009518;6eea74558600;2;2
$1;1494946518743159014;HTTP_VetsService.GET;D2B25968771E1697677A3E1BADC3C0B6;4164281542945800318;1494946518711153127;1494946518743142471;6eea74558600;1;1
$1;1494946519283246874;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();F7104952D0EB89E04570F148F0F02B4E;4164281542945800326;1494946519265294632;1494946519283240022;6eea74558600;4;4
$1;1494946519287375010;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();F7104952D0EB89E04570F148F0F02B4E;4164281542945800326;1494946519262123703;1494946519287322540;6eea74558600;3;3
$1;1494946519287495482;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();F7104952D0EB89E04570F148F0F02B4E;4164281542945800326;1494946519262111553;1494946519287489753;6eea74558600;2;2
$1;1494946519291747508;HTTP_VetsService.GET;F7104952D0EB89E04570F148F0F02B4E;4164281542945800326;1494946519261387090;1494946519291719169;6eea74558600;1;1
$1;1494946519735065787;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();A26B0968958B8BB6DC36B12245ADA3C1;4164281542945800334;1494946519685153646;1494946519735058449;6eea74558600;4;4
$1;1494946519736553521;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A26B0968958B8BB6DC36B12245ADA3C1;4164281542945800334;1494946519683924612;1494946519736547332;6eea74558600;3;3
$1;1494946519736701281;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A26B0968958B8BB6DC36B12245ADA3C1;4164281542945800334;1494946519683859991;1494946519736697972;6eea74558600;2;2
$1;1494946519740793156;HTTP_VetsService.GET;A26B0968958B8BB6DC36B12245ADA3C1;4164281542945800334;1494946519683411724;1494946519740754999;6eea74558600;1;1
$1;1494946520325681089;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();A7602B06AF7DB7235F6A082422020BD8;4164281542945800342;1494946520308687292;1494946520325674572;6eea74558600;4;4
$1;1494946520326979219;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();A7602B06AF7DB7235F6A082422020BD8;4164281542945800342;1494946520302138132;1494946520326974089;6eea74558600;3;3
$1;1494946520327114857;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();A7602B06AF7DB7235F6A082422020BD8;4164281542945800342;1494946520302128210;1494946520327111887;6eea74558600;2;2
$1;1494946520339423113;HTTP_VetsService.GET;A7602B06AF7DB7235F6A082422020BD8;4164281542945800342;1494946520301702670;1494946520339404879;6eea74558600;1;1
$1;1494946520982409856;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();02C4BA7ED81101964BC8D499AA27C99E;4164281542945800350;1494946520940098045;1494946520982402862;6eea74558600;4;4
$1;1494946520984101199;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();02C4BA7ED81101964BC8D499AA27C99E;4164281542945800350;1494946520932385940;1494946520984095225;6eea74558600;3;3
$1;1494946520984235192;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();02C4BA7ED81101964BC8D499AA27C99E;4164281542945800350;1494946520932373742;1494946520984231998;6eea74558600;2;2
$1;1494946520986449290;HTTP_VetsService.GET;02C4BA7ED81101964BC8D499AA27C99E;4164281542945800350;1494946520932016515;1494946520986432166;6eea74558600;1;1
$1;1494946521572103088;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();F55CD57166F767C80DCC79D2AF70F0B5;4164281542945800358;1494946521543934805;1494946521572096719;6eea74558600;4;4
$1;1494946521582824496;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();F55CD57166F767C80DCC79D2AF70F0B5;4164281542945800358;1494946521538379806;1494946521582800094;6eea74558600;3;3
$1;1494946521582982702;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();F55CD57166F767C80DCC79D2AF70F0B5;4164281542945800358;1494946521538345085;1494946521582978942;6eea74558600;2;2
$1;1494946521594732270;HTTP_VetsService.GET;F55CD57166F767C80DCC79D2AF70F0B5;4164281542945800358;1494946521538054978;1494946521594716592;6eea74558600;1;1
$1;1494946522230264030;public abstract java.util.Collection org.springframework.samples.petclinic.vets.domain.model.vet.VetRepository.findAll();389A48D506A0BDB074C21BEC4D754561;4164281542945800366;1494946522195511538;1494946522230257325;6eea74558600;4;4
$1;1494946522238303488;public java.util.Collection org.springframework.samples.petclinic.vets.application.VetService.findVets();389A48D506A0BDB074C21BEC4D754561;4164281542945800366;1494946522189345624;1494946522238297841;6eea74558600;3;3
$1;1494946522238452474;public java.util.Collection org.springframework.samples.petclinic.vets.web.boundary.VetResource.showResourcesVetList();389A48D506A0BDB074C21BEC4D754561;4164281542945800366;1494946522189335740;1494946522238449633;6eea74558600;2;2
